Title,Authors,Year,Published in,Keywords,Keywords,# of PwP,Experiment Environment,Application,Aspects,Device,AdditonalDevices,Sensors/Actuators,SamplingFrequency,Identifier,Document Type,
Quality Control of Voice Recordings in Remote Parkinsonâ€™s Disease Monitoring Using the Infinite Hidden Markov Model,A. H. Poorjam; Y. P. Raykov; R. Badawy; J. R. Jensen; M. G. Christensen; M. A. Little,2019,"ICASSP 2019 - 2019 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",Bayesian Nonparametric;infinite HMM;Parkinsonâ€™s disease;quality control;segmentation,"The performance of voice-based systems for remote monitoring of Parkinson's disease is highly dependent on the degree of adherence of the recordings to the test protocols, which probe for specific symptoms. Identifying segments of the signal that adhere to the protocol assumptions is typically performed manually by experts. This process is costly, time consuming, and often infeasible for large-scale data sets. In this paper, we propose a method to automatically identify the segments of signals that violate the test protocol with a high accuracy. In our approach, the signal is first split into variable duration segments by fitting an infinite hidden Markov model (iHMM) to the frames of the signals in the mel-frequency cepstral domain. The complexity of the iHMM is capable of growing jointly with the data allowing us to infer a potentially large (asymptotically infinite) number of different phenomena segmented into different hidden states. Then, we identify the segments that adhere to the test protocol by applying a multinomial naive Bayes classifier to the state indicators of segments. The experimental results show that even by using a small amount of training data, we can achieve around 96% accuracy in identifying short-term protocol violations with a 0.2 s resolution.",,,Prognosis/Monitoring Disease Progression,Speech Topics,Audio Recording,,,,,,
"A Wearable, Patient-Adaptive Freezing of gait Detection System for Biofeedback Cueing in Parkinson's Disease",V. Mikos; C. Heng; A. Tay; S. Yen; N. S. Y. Chia; K. M. L. Koh; D. M. L. Tan; W. L. Au,2019,IEEE Transactions on Biomedical Circuits and Systems,FPGA;Freezing of gait;machine learning;patient adaptivity;parkinson's disease;wearable devices,"Freezing of gait (FoG) is a common motor-related impairment among Parkinson's disease patients, which substantially reduces their quality of life and puts them at risk of falls. These patients benefit from wearable FoG detection systems that provide timely biofeedback cues and hence help them regain control over their gait. Unfortunately, the systems proposed thus far are bulky and obtrusive when worn. The objective of this paper is to demonstrate the first integration of an FoG detection system into a single sensor node. To achieve such an integration, features with low computational load are selected and dedicated hardware is designed that limits area and memory utilization. Classification is achieved with a neural network that is capable of learning in real time and thus allows the system to adapt to a patient during runtime. A small form factor FPGA implements the feature extraction and classification, whereas a custom PCB integrates the system into a single node. The system fits into a 4.5 Ã— 3.5 Ã— 1.5 cm3 housing case, weighs 32 g, and achieves 95.6% sensitivity and 90.2% specificity when adapted to a patient. Biofeedback cues are provided either through auditory or somatosensory means and the system can remain operational for longer than 9 h while providing cues. The proposed system is highly competitive in terms of classification performance and excels with respect to wearability and real-time patient adaptivity.",,,Rehabilitation,Freezing of gait,"Wearable, Cueing",,,,,,Also Prognosis/Monitoring
Analysis of Parkinsonâ€™s Disease Dysgraphia Based on Optimized Fractional Order Derivative Features,J. Mucha; M. Faundez-Zanuy; J. Mekyska; V. Zvoncak; Z. Galaz; T. Kiska; Z. Smekal; L. Brabenec; I. Rektorova; K. Lopez-de-Ipina,2019,2019 27th European Signal Processing Conference (EUSIPCO),online handwriting;Parkinsonâ€™s disease;dysgraphia;fractal calculus;fractional derivatives;classification;regression,"Parkinson's disease (PD) is a common neurodegenerative disorder with prevalence rate estimated to 1.5 % for people age over 65 years. The majority of PD patients is associated with handwriting abnormalities called PD dysgraphia, which is linked with rigidity and bradykinesia of muscles involved in the handwriting process. One of the effective approaches of quantitative PD dysgraphia analysis is based on online handwriting processing. In the frame of this study we aim to deeply evaluate and optimize advanced PD handwriting quantification based on fractional order derivatives (FD). For this purpose, we used 37 PD patients and 38 healthy controls from the PaHaW (PD handwriting database). The FD based features were employed in classification and regression analysis (using gradient boosted trees), and evaluated in terms of their discrimination power and abilities to assess severity of PD. The results suggest that the most discriminative and descriptive information provide FD based features extracted from a repetitive loop task or a sentence copy task (maximum sensitivity/specificity = 76 %, error in severity assessment = 14 %, error in PD duration estimation = 22 %). Next, we identified two optimal ranges for the order of fractional derivative, Î± = 0.05-0.45 and Î± = 0.65-0.80. Finally, we observed that inclusion of pressure, azimuth, and tilt together with kinematic features into mathematical modeling has no influence (positive or negative) on classification performance, however, there was a notable improvement in the estimation of PD duration.",,,Diagnosis,Handwritting,Images,,,,,,
Parkinsonâ€™s disease and Levodopa effects on muscle synergies in postural perturbation,I. Mileti; A. Zampogna; J. Taborri; F. Martelli; S. Rossi; Z. Del Prete; M. Paoloni; A. Suppa; E. Palermo,2019,2019 IEEE International Symposium on Medical Measurements and Applications (MeMeA),Parkinsonâ€™s disease;muscle synergies;EMG;Postural strategies;Dynamic posturography;Yaw perturbation,"Assessing effects of neurodegenerative disorders, such as Parkinson's disease (PD), on muscle activation for maintaining balance is a research topic of interest to clarify the pathophysiology of postural instability. This study aims to a deeper insight into pathophysiological mechanisms associated with balance disorders in PD patients, under and not under dopaminergic treatment, through muscle synergy analysis. Ten patients with PD and ten age-matched healthy subjects were exposed to external perturbations around the vertical axis (yaw perturbations). PD patients were evaluated twice, both under their usual dopaminergic therapy (ON) and after a medication washout period of 12 hours (OFF). Two different external perturbations were provided using the RotoBit1D. Muscle activities of 12 bilateral muscles of the upper body were gathered through surface electromyography. To extract muscles synergies, the Non-Negative Matrix Factorization was performed and the Variability Account For was used to assess the minimum Number of Synergies (NoS). Mean, standard error and Coefficient of Variability (CoV) of the total Variability Account For (tVAF) for synergies from 1 to the maximum NoS found were considered. No statistical differences were found considering the NoS that ranged from 2 to 7 among all participants. Statistical differences were found in the tVAF between PD patients and healthy subjects. No statistical differences were found between PD patients OFF and ON state of therapy for all NoS. Finally, the minimum NoS of PD strongly correlated with specific clinical evaluation scores, such as cognitive function and bradykinesia. These findings unveiled poor balance control strategies in PD patients, depending on cognitive and motor impairment and not responding to dopaminergic treatment.",<=10,,Prognosis/Monitoring Disease Progression,EMG abnormalities,BioPotential,,EMG,,,,
Objective and Subjective Speech Quality Assessment of Amplification Devices for Patients With Parkinsonâ€™s Disease,A. Gaballah; V. Parsa; M. Andreetta; S. Adams,2019,IEEE Transactions on Neural Systems and Rehabilitation Engineering,Parkinson disease;speech quality;speech amplifiers;speech analysis;machine learning,"This paper investigated subjective and objective assessment of Parkinsonian speech quality. Speech stimuli were recorded from 11 Parkinsonian and 10 age-matched normal control participants under different amplification and environmental conditions. Quality ratings of the recorded stimuli were obtained from naÃ¯ve listeners. For objective assessment, feature vectors were derived from the speech recordings based on temporal, spectral, and/or cepstral parametrization. These feature vectors were subsequently mapped to the predicted quality scores through several regression methods, including support vector regression, Gaussian process regression, and deep learning. Analyses of subjective speech quality ratings showed that Parkinsonian speech quality was significantly poorer than control subjects' speech quality, and that the amplification devices differentially affected perceived quality of Parkinsonian speech. Objective analyses revealed disparity in performance among feature vectors and mappers, with some feature vector and mapper combinations exhibiting statistically similar correlations with subjective ratings. A set consisting of cepstral, spectral, and modulation domain speech features when combined with Gaussian process regression or deep learning resulted in the highest correlation of 0.85 with the subjective data.",,,Diagnosis,,Audio Recording,,,,,,
Optimization of Features for Classification of Parkinson's Disease from Vocal Dysphonia,W. Farzana; Q. Z. D. Hossain,2019,"2019 International Conference on Electrical, Computer and Communication Engineering (ECCE)",Classification;Attribute;Accuracy;Precision,"Parkinsons disease is considered most prominent neurological disease after Alzheimer and Epilepsy. There is no defined test for early diagnosis of Parkinson's patient and medical decisions are provided based on the medical history of the patient and hence the possibility of misdiagnosis. Parkinsons disease influxes different prospects of a patient and in 90% cases vocal dysphonia is present an analysis of the vocal dysphonia can be considered as the early biomarker of decision making for medical practitioners and neurologists as well as biometric analysis. This study aims at vocal dysphonia analysis of Parkinson's patient from voice dataset with different machine learning algorithms with a goal to achieve better performance with less number of attributes. A comparative study is performed where k-Nearest performed approximately with 98% accuracy with 5 relevant attributes, Random Tree with 100% accuracy with 1 related attribute. In addition in the case of Multi-Layer Perceptions with different hiddenlayers, the performance is evaluated. It is observed that MDVP: Fo, MDVP: Shimmer, RPDE, Spread1 attributes contribute more to efficient classification accuracy.",,,Diagnosis,Speech Topics,Audio Recording,,,,,,
A Multi-Layer Gaussian Process for Motor Symptom Estimation in People With Parkinson's Disease,M. Lang; F. M. J. Pfister; J. FrÃ¶hner; K. Abedinpour; D. Pichler; U. Fietzek; T. T. Um; D. KuliÄ‡; S. Endo; S. Hirche,2019,IEEE Transactions on Biomedical Engineering,Ambient intelligence;Gaussian processes;medical information system;wearable sensors,"The assessment of Parkinson's disease (PD) poses a significant challenge, as it is influenced by various factors that lead to a complex and fluctuating symptom manifestation. Thus, a frequent and objective PD assessment is highly valuable for effective health management of people with Parkinson's disease (PwP). Here, we propose a method for monitoring PwP by stochastically modeling the relationships between wrist movements during unscripted daily activities and corresponding annotations about clinical displays of movement abnormalities. We approach the estimation of PD motor signs by independently modeling and hierarchically stacking Gaussian process models for three classes of commonly observed movement abnormalities in PwP including tremor, (non-tremulous) bradykinesia, and (non-tremulous) dyskinesia. We use clinically adopted severity measures as annotations for training the models, thus allowing our multi-layer Gaussian process prediction models to estimate not only their presence but also their severities. The experimental validation of our approach demonstrates strong agreement of the model predictions with these PD annotations. Our results show that the proposed method produces promising results in objective monitoring of movement abnormalities of PD in the presence of arbitrary and unknown voluntary motions, and makes an important step toward continuous monitoring of PD in the home environment.",,,Prognosis/Monitoring Disease Progression,"Tremor, Bradykinesia and Dyskinesia",Wearable,,,,,,
A Novel Positive Transfer Learning Approach for Telemonitoring of Parkinsonâ€™s Disease,H. Yoon; J. Li,2019,IEEE Transactions on Automation Science and Engineering,Machine learning;negative transfer;telemonitoring;transfer learning (TL),"Telemonitoring is the use of electronic devices to remotely monitor patients. Taking the Parkinson's disease (PD) as an example, the use of at-home testing device (AHTD) enables remote, internet-based measurement of PD vocal symptoms. Translating AHTD measurement into a unified PD rating scale (UPDRS) through predictive analytics enables cost-effective, convenient, and close tracking of PD progression. Building a predictive model between AHTD measurement and UPDRS is not straightforward because PD patients are highly heterogeneous, which requires patient-specific models. Learning a patient-specific model faces the challenge of limited data. Transfer learning (TL) tackles this challenge by leveraging other patients' information to make up the data shortage when modeling a target patient. Among different TL methods, the category of parameter transfer methods is more appropriate for the telemonitoring application because it transfers patient-specific model parameters but not patients' data. However, existing parameter transfer methods fall short because not every other patient's information is helpful and blind transfer causes the problem of negative transfer. To tackle this limitation, we propose a positive TL (PTL) method. We provide an in-depth theoretical study on the risk and condition for negative transfer to happen, which further drive the development of novel PTL algorithms that are robust to negative transfer. We apply PTL to predict UPDRS of 42 PD patients using their AHTD vocal measurement. PTL achieves significantly better accuracy compared with single learning and one-model-fits-all approaches.",>30,,Prognosis/Monitoring Disease Progression,Speech Topics,Audio Recording,,,,,,
The Detection of Freezing of gait in Parkinsonâ€™s Disease Using Asymmetric Basis Function TV-ARMA Timeâ€“Frequency Spectral Estimation Method,Y. Guo; L. Wang; Y. Li; L. Guo; F. Meng,2019,IEEE Transactions on Neural Systems and Rehabilitation Engineering,Freezing of gait (FOG);freeze index (FI);time-frequency spectral estimation (TFSE);time-varying auto-regressive moving average (TV-ARMA) model;asymmetric basis function;wearable inertial sensor,"Freezing of gait (FOG) is an episodic gait disturbance affecting locomotion in Parkinson's disease. As a biomarker to detect FOG, the Freeze index (FI), which is defined as the ratio of the areas under power spectra in `freeze' band and in `locomotion' band, can negatively be affected by poor time and frequency resolution of time-frequency spectrum estimate when short-time Fourier transform (STFT) or Wavelet transform (WT) is used. In this study, a novel high-resolution parametric time-frequency spectral estimation method is proposed to improve the accuracy of FI. A time-varying autoregressive moving average model (TV-ARMA) is first identified where the time-varying parameters are estimated using an asymmetric basis function expansion method. The TV-ARMA model is then transformed into frequency domain to estimate the time-frequency spectrum and calculate the FI. Results evaluated on the Daphnet Freezing of gait Dataset show that the new method improves the time and frequency resolutions of the time-frequency spectrum and the associate FI has better performance in the detection of FOG than its counterparts based on STFT and WT methods do. Moreover, FOGs can be predicted in advance of its occurrence in most cases using the new method.",,,Prognosis/Monitoring Disease Progression,Freezing of gait,Wearable,,Accelerometer,,,,
Towards a wearable system for predicting the Freezing of gait in people affected by Parkinson's disease,F. Demrozi; R. Bacchin; S. Tamburin; M. Cristani; G. Pravadelli,2019,IEEE Journal of Biomedical and Health Informatics,Freezing of gait;wearable device;accelerometer;explainable machine learning;classification,"Some wearable solutions exploiting on-body acceleration sensors have been proposed to recognize Freezing of gait (FoG) in people affected by Parkinson Disease (PD). Once a FoG event is detected, these systems generate a sequence of rhythmic stimuli to allow the patient restarting the march. While these solutions are effective in detecting FoG events, they are unable to predict FoG to prevent its occurrence. This paper fills in the gap by presenting a machine learning-based approach that classifies accelerometer data from PD patients, recognizing a pre-FOG phase to further anticipate FoG occurrence in advance. Gait was monitored by three tri-axial accelerometer sensors worn on the back, hip and ankle. Gait features were then extracted from the accelerometer's raw data through data windowing and non-linear dimensionality reduction. A k-nearest neighbor algorithm (k-NN) was used to classify gait in three classes of events: pre-FoG, no-FoG and FoG. The accuracy of the proposed solution was compared to state of-the-art approaches. Our study showed that: (i) we achieved performances overcoming the state-of-the-art approaches in terms of FoG detection, (ii) we were able, for the very first time in the literature, to predict FoG by identifying the pre-FoG events with an average sensitivity and specificity of, respectively, 94.1% and 97.1%, and (iii) our algorithm can be executed on resource-constrained devices. Future applications include the implementation on a mobile device, and the administration of rhythmic stimuli by a wearable device to help the patient overcome the FoG.",,,Prognosis/Monitoring Disease Progression,Freezing of gait,Wearable,,Accelerometer,,,,Also Therapy
Wavelet-based Semblance Analysis of Gait Dynamics in Parkinson's Disease,A. R. Alhaidar; M. Y. Sikkandar; A. A. Alkathiry,2019,2019 8th International Conference on Modeling Simulation and Applied Optimization (ICMSAO),VGRF Signals;similarity;power ratio;continuous wavelet transform,"Analysis of Parkinson's disease (PD) patient's gait pattern from foots vertical ground reaction forces' (VGRF) is a thought-provoking research problem with substantial scientific applications. The purpose of the present work is to advance this approach further and investigate relationship of VGRF signals obtained from patients with PD foots as a function of time. Gait analysis based on instrumented technique has been extensively used in gait laboratories and there is a lack of understanding gait patterns in different phases of gait cycle. In this study, a modern signal processing method called wavelet-based semblance analysis is performed on time series signals obtained from VGRF sensors placed under the foots of PD patients. Semblance analysis between VGRF signals of PD patients in normal walking and dual tasking shows that it has high cross correlation (P <; 0.05) than control subjects. Semblance power ration (PRSEM) is always greater than 1 for control subjects and is â‰¤ 1 for subjects with PD. These findings pave way for measuring the degree of similarity and quantifying dual tasking gait dynamics of PD patients from a normal walking.",,,Prognosis/Monitoring Disease Progression,Gait,Force/Pressure,,,,,,
Multi-Sensing System for Parkinsonâ€™s Disease Stage Assessment based on FPGA-embedded Serial SVM Classifier,D. De Venuto; G. Mezzina,2019,IEEE Design & Test,Biosignals;FPGA;Wearable Diagnostic Platform;Cyber-Physical System,"The paper proposes a multi-sensing system for the jointly assessment of electromyographic (EMG) and electroencephalographic (EEG) signals for the neuromuscular syndromes progression assessment, such as the Parkinsonâ€™s disease (PD). The architecture implemented on Altera Cyclone V FPGA, interfaces 8 wireless surface EMGs (lower limbs) and 7 wireless EEGs (motor-cortex). The acquired signals, digitized and pre-processed, underwent a time-frequency features extraction (FE), making data suitable for a Serial Support Vector Machine (SSVM) real-time classification. The system has been in-vivo tested on 5 subjects (n=3 affected by mild PD and n=2 by severe PD). The experimental results showed an accuracy of âˆ¼94% in the pathology stage recognition, and near the 100% in distinguish healthy subjects from PD affected ones. The FPGA resources utilization results in: 31.04% ALMs, 15.87% registers, < 6% memory blocks and the 82.75% DSP blocks.",,,Prognosis/Monitoring Disease Progression,EMG abnormalities,BioPotential,,"EEG, EMG",,,,
Vision Optical-Based Evaluation of Senshand Accuracy for Parkinsonâ€™s Disease Motor Assessment,E. Rovini; D. Esposito; L. Fabbri; S. Pancani; F. Vannetti; F. Cavallo,2019,2019 IEEE International Symposium on Measurements & Networking (M&N),accuracy;inertial measurement units;kinematic analysis;optoelectronic system;system validation;upper limb motor assessment;wearable inertial sensors,"Parkinson's disease (PD) is a highly-disabling common neurodegenerative disease. The current method to diagnose PD is mainly based on clinical criteria and motor examination of the performance of the patients that are visually evaluated by the neurologist while they performed tasks from MDS-UPDRS. In order to support the clinician in objective assessment of the motor performance, sensorized wearable technology able to finely measure the motion are currently investigated. Since accuracy and precision of the measures are mandatory to provide the neurologist with a tool that can actually be applied in clinical practice, in this work, the quality of measures obtained by the SensHand system was evaluated, comparing them to an optoelectronic â€œgold standardâ€ system addressing a preliminary technical validation. Three exercises (i.e., finger tapping, thumb-forefinger tapping, and pronosupination) were selected and frequency, number of repetitions and amplitude of the movements were measured for each of them by both the wearable and optical systems. The preliminary results were very satisfying, considering that discrepancies, measured as absolute error, in frequency evaluation, number of repetitions, and amplitude movement were, on average, equal to 0.03 taps/s(min 0.02, max 0.05), 0.07 tap (min 0.02, max 0.13), and 3.8 degrees (min 1.81, max 7.47), respectively. Very high correlation values obtained from linear regression analysis (R2>0.9) also confirmed the accuracy of the measurements achieved with SensHand. Therefore, the obtained results from SensHand system are promising to use it to support the neurologist for accurate quantification of motion analysis to improve the objective PD evaluation.",,,Diagnosis,Limb movements,Wearable/Motion Tracker,,,,,,
Toward A Quantitative Evaluation of the Fall Risk Using the Fusion of Inertial Signals and Electromyography with Wearable Sensors,I. Mazzetta; A. Zampogna; A. Suppa; M. Pessione; F. Irrera,2019,"2019 20th International Conference on Solid-State Sensors, Actuators and Microsystems & Eurosensors XXXIII (TRANSDUCERS & EUROSENSORS XXXIII)",Wearable sensors;sensor fusion;inertial signal;surface electromyography;gait analysis;Parkinsonâ€™s Disease,"Freezing of gait (FOG) is an unpredictable gait disorder typical of Parkinson's Disease (PD). The main goals of this work are detecting FOG episodes, classifying FOG subtypes and analyzing the leg muscles activity toward a deeper insight into the disorder pathophysiology and in the associated risk of fall. Fusion of inertial and electromyographic signals in our wearable system allows distinguishing correctly 98.4% of FOG episodes and monitoring in free-living conditions the activity type and intensity of leg antagonist muscles involved in FOG. This is an advancement in the state-of-art knowledge of PD pathophysiology, possibly allowing the implementation of current therapeutic strategies.",,,Prognosis/Monitoring Disease Progression,Freezing of gait,Wearable,,,,,,
Involuntary Tremor Analysis based on the Accelerometric Measurements,S. Borik; B. Valjaskova; M. Smondrk; B. Babusiak; T. Bednar,2019,2019 12th International Conference on Measurement,Analysis;Accelerometer;Biosignal;Parkinson's Disease;Tremor,"Many neurological disorders are associated with an involuntary, rhythmic oscillation of a certain moving body part called tremor. A measuring system using an accelerometer sensor has been designed and constructed to measure, quantify and analyze these oscillations. The acquired data is displayed real-time and further processed within the developed software application. It allows determining the dominant tremor frequency information, which is one of the main diagnostic parameters.",,,Diagnosis,"Tremor, Bradykinesia and Dyskinesia",Wearable,,Acclerometer,,,,
Super-gaussianity of Speech Spectral Coefficients as a Potential Biomarker for Dysarthric Speech Detection,I. Kodrasi; H. Bourlard,2019,"ICASSP 2019 - 2019 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",super-Gaussianity;Weibull distribution;SVM;Parkinsonâ€™s disease;Amyotrophic Lateral Sclerosis,"Parkinson's disease (PD) and Amyotrophic Lateral Sclerosis (ALS) are progressive neurodegenerative diseases which, among other symptoms, cause dysarthria of speech. To assist the clinical diagnosis and treatment of neurological diseases, several studies have addressed the characterization and classification of healthy and dysarthric speech. However, most contributions deal with PD speech, with significantly fewer results presented for ALS speech. The objective of this paper is to show that ALS speech has a similar statistical distribution as PD speech, with the complex spectral coefficients being significantly less super-Gaussian than healthy speech spectral coefficients. In addition, a method to exploit the super-Gaussianity of speech signals as a feature to classify healthy and dysarthric speech is presented and evaluated. The proposed approach is evaluated on a French database of healthy and dysarthric (PD and ALS) speech. Experimental results show that the use of the super-Gaussianity of speech signals yields a significantly higher classification accuracy than state-of-the-art features such as fundamental frequency, jitter, shimmer, harmonics-to-noise ratio, or Mel frequency cepstral coefficients.",,,Diagnosis,Speech Topics,Audio Recording,,,,,,
Deep Learning for Ground Reaction Force Data Analysis: Application to Wide-Area Floor Sensing,A. S. Alharthi; K. B. Ozanyan,2019,2019 IEEE 28th International Symposium on Industrial Electronics (ISIE),Convolutional Neural Networks (CNN);Deep learning;Floor sensing;Ground Reaction Forces (GRF);Gait;Long Short-Term Memory Networks (LSTM);Parkinsonâ€™s disease,"Deep learning methods are proposed to process and fuse raw spatiotemporal ground reaction forces (GRF) to accurately categorize gait pattern. These methods are based on convolutional neural network and long short-term memory networks architectures to learn spatiotemporal features, automatically end-to-end from raw GRF sensor signals. In a case study on Parkinson's disease (PD) data, spatiotemporal signals of gait for PD patient and healthy subjects are processed and classified, resulting an effective gait pattern classification with a precision performance of 96%. Deep learning considerably achieved better classification results, compared to the shallow learning methods with the handcrafted features. This implies that for the purpose of automatic decision-making, it is beneficial to utilize deep learning methods to analyse GRF. This insight is portable across a range of industrial tasks that involve complex spatiotemporal GRF signals classification. The proposed models are computationally efficient and able to achieve high classification precision from a large set of GRF signals.",,,Diagnosis,Gait,Force/Pressure,,,,,,
Vision-based Freezing of gait Detection with Anatomic Directed Graph Representation,K. Hu; Z. Wang; S. Mei; K. Ehgoetz; T. Yao; S. Lewis; D. Feng,2019,IEEE Journal of Biomedical and Health Informatics,Parkinson's disease;Freezing of gait detection;deep learning;graph convolution neural network,"Parkinson's disease significantly impacts the life quality of millions of people around the world. While Freezing of gait (FoG) is one of the most common symptoms of the disease, it is time-consuming and subjective to assess FoG for well-trained experts. Therefore, it is highly desirable to devise computer-aided FoG detection methods for the purpose of objective and time-efficient assessment. In this study, in line with the gold standard of FoG clinical assessment which requires video or direct observation, we propose one of the first vision-based methods for automatic FoG detection. To better characterize FoG patterns, instead of learning an overall representation of a video, we propose a novel architecture of graph convolution neural network and represent each video as a directed graph where FoG related candidate regions are the vertices. A weakly-supervised learning strategy and a weighted adjacency matrix estimation layer are proposed to eliminate the resource expensive data annotation required for fully supervised learning. As a result, the interference of visual information irrelevant to FoG, such as gait motion of supporting staff involved in clinical assessments, has been reduced to improve FoG detection performance by identifying the vertices contributing to FoG events. To further improve the performance, the global context of a clinical video is also considered and several fusion strategies with graph predictions are investigated. Experimental results on more than 100 videos collected from 45 patients during a clinical assessment demonstrated promising performance of our proposed method with an AUC of 0.887.",,,Diagnosis,Freezing of gait,Video Recording,,,,,,
An indoor localization system to detect areas causing the Freezing of gait in Parkinsonians,F. Demrozi; V. Bragoi; F. Tramarin; G. Pravadelli,2019,"2019 Design, Automation & Test in Europe Conference & Exhibition (DATE)",Fingerprinting;indoor localization;machine learning;probabilistic graph;Parkinsonâ€™s disease,"People affected by the Parkinson's disease are often subject to episodes of Freezing of gait (FoG) near specific areas within their environment. In order to prevent such episodes, this paper presents a low-cost indoor localization system specifically designed to identify these critical areas. The final aim is to exploit the output of this system within a wearable device, to generate a rhythmic stimuli able to prevent the FoG when the person enters a risky area. The proposed localization system is based on a classification engine, which uses a fingerprinting phase for the initial training. It is then dynamically adjusted by exploiting a probabilistic graph model of the environment.",,,Prognosis/Monitoring Disease Progression,Freezing of gait,Smartphone,,,,,,
Freezing-of-Gait Detection Using Wearable Sensor Technology and Possibilistic K-Nearest-Neighbor Algorithm,P. Tahafchi; J. W. Judy,2019,2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),Freezing of gait;Parkinsonâ€™s Disease;Wearable Sensor Technology;K-Nearest Neighbor;Anomaly Detection,"Freezing of gait (FoG) is an episodic motor disturbance in Parkinson disease (PD) that causes patients to be unable to initiate or maintain their locomotion. Prior work that used simple and easy-to-learn algorithms based on a singular feature and rule-based classifiers are not sufficient to learn variations in patient walking styles and freezing patterns. Efforts to use machine-learning algorithms suffer from challenges caused by imbalanced datasets. Here, we propose a new approach for FoG detection using a wide set of online calculable features and an instance-based and non-parametric Possibilistic K-Nearest-Neighbor (KNN) classifier. The issue of imbalanced datasets is addressed using the Self-Organizing-Map (SOM) algorithm.",,,Diagnosis,Freezing of gait,Wearable,,,,,,
"Towards On-Demand Virtual Physical Therapist: Machine Learning-Based Patient Action Understanding, Assessment and Task Recommendation",W. Wei; C. McElroy; S. Dey,2019,IEEE Transactions on Neural Systems and Rehabilitation Engineering,Action understanding;machine learning;Parkinsonâ€™s disease;physical therapy;recommendation system,"In this paper, we propose a machine learning-based virtual physical therapist (PT) system to enable personalized remote training for patients with Parkinson's disease (PD). Three physical therapy tasks with multiple difficulty levels are selected to help patients with PD improve balance and mobility. Patients' movements are captured by a Kinect sensor. Criteria for each task are carefully designed by our PT co-author such that the patient's performance can be evaluated in an automated manner. Given the patient's motion data, we propose a two-phase human action understanding algorithm TPHAU to understand the patient's movements, and an error identification model to identify the patient's movement errors. To enable automated task recommendation, a machine learning-based model is trained from real patient and PT data to provide accurate, personalized, and timely task update recommendation for patients with PD, thereby emulating a real PT's behavior. Real patient data have been collected in the clinic to train the models. Experiments show that the proposed methods achieve high accuracy in patient action understanding, error identification and task recommendation. The proposed virtual PT system has the potential of enabling on-demand virtual care and significantly reducing cost for both patients and care providers.",,,Rehabilitation,Bradykinesia and Dyskinesia,Motion Tracker,,Kinect,,,,
Quantitative Evaluation of Human Finger Tapping Movements Through Magnetic Measurements,K. Shima; T. Tsuji; A. Kandori; M. Yokoe; S. Sakoda,2019,IEEE/ASME Transactions on Mechatronics,Diagnosis support;finger tapping (FT) movement;magnetic sensor;motor function evaluation;Parkinson's disease (PD),"In this study, a magnetic sensor consisting of two coils was used to measure and evaluate finger tapping (FT) movements for diagnosis support and assessment of motor function. The sensor enables estimation of the distance between the two coil-bearing fingertips according to the nonlinear relationships between voltage and distance. The finger movements measured are evaluated by computing 12 indices, such as the FT interval and maximum amplitude, and radar charts of the evaluation indices are then displayed in real time on a monitor. The user can thus intuitively understand the features of FT movements. Verification experiments on magnetic measurement of finger movements were performed, and the results showed that finger movement could be measured with a high degree of accuracy. The results of finger movement evaluation for 30 Parkinson's disease (PD) patients and 32 normal elderly subjects showed that all evaluation indices differed significantly for each group, and the proposed system could be used to assess the Unified PD Rating Scale part III FT score by evaluating the number of indices with values greater or smaller than plus/minus double the standard deviation from the measured data of 32 normal elderly subjects. We therefore concluded that the proposed system can be used to quantitatively evaluate the motor function of finger taps.",,,Diagnosis,Limb movements,,,Magnetic sensor,,,,
Automatic discrimination of several types of speech pathologies,D. SztahÃ³; G. Kiss; M. G. Tulics; B. Hajduska-DÃ©r; K. Vicsi,2019,2019 International Conference on Speech Technology and Human-Computer Dialogue (SpeD),depression;voice disorder;Parkinson;speech;support vector machines;neural network;health;diagnostics,"Numerous changes in health condition can cause speech disorders and voice impairments. The present paper aims not only to separate speech samples of healthy speakers from a larger set of diseases, namely depression, Parkinsonâ€™s disease, structural organic dysphonia, functional dysphonia and recurrent paresis, but to examine the classification possibilities of these diseases. Datasets containing read texts were used. Support vector machines, neural networks and k-nearest neighbor methods were utilized to compare performances. Flat and hierarchical classification scenarios were also investigated, followed by a final feature selection step. The best overall accuracy was 66.1% using six classes and 88.0% using re-categorization of disorders into four classes. Flat classification scenario outperformed the hierarchical one.",,,Diagnosis,Speech Topics,Audio Recording,,,,,,
