Title,Authors,Year,Published in,Keywords,Keywords,# of PwP,Experiment Environment,Application,Aspects,Device,AdditonalDevices,Sensors/Actuators,SamplingFrequency,Identifier,Document Type,Comments
Electromyography activity level in rapid eye movement sleep predicts neurodegenerative diseases in idiopathic rapid eye movement sleep behavior disorder: a 5-year longitudinal study,"Liu, Yaping; Zhang, Jihui; Lam, Siu Ping; Yu, Mandy Wai Man; Li, Shirley Xin; Zhou, Junying; Chan, Ngan Yin; Wang, Jing; Feng, Hongliang; Chan, Anne; Mok, Vincent; Wing, Yun Kwok",2019,Sleep Medicine,"REM sleep behavior disorder, REM sleep without atonia, Time-dependent receiver operating characteristic, Neurodegenerative diseases","Objectives
  To investigate whether baseline electromyography (EMG) activity during rapid eye movement (REM) sleep predicts the development of neurodegenerative diseases over time in patients with idiopathic REM sleep behavior disorder (iRBD).
  Methods
  A total of 216 patients with polysomnography-confirmed iRBD were recruited from September 1997 to December 2016 with a mean follow-up duration of 5.0Ãƒâ€šÃ‚ Ãƒâ€šÃ‚Â±Ãƒâ€šÃ‚ 3.7 years (median: 4.0, range: 0.5-19.0). Neurodegenerative diseases were ascertained according to standard diagnostic criteria during follow-up. Time-dependent receiver operating characteristic (ROC) curves were employed to evaluate the dynamic predictive performance of EMG activity over time. Both tonic and phasic EMG activity were dichotomized into 'mild' and 'severe' categories by the ROC curves estimated optimal cut-offs.
  Results
  A total of 58 patients (26.9%) developed neurodegenerative diseases. The predictive performance of tonic EMG activity was stable (area under the curve of approximately 0.68) over time, while the performance of phasic EMG activity was significantly superior to chance only after five years of follow-up. The optimal cut-off for prediction at five years was 15.4% (sensitivity, 0.69; specificity, 0.57) and 7.8% (sensitivity, 0.79; specificity, 0.47) for tonic and phasic EMG activity, respectively. Cox proportional hazards regression analyses further revealed that severe tonic (adjusted HR: 2.76, 95% CI: 1.35-5.62) and phasic EMG activity (adjusted HR: 3.10, 95% CI: 1.10-8.71) were associated with early development of Parkinson's disease (PD) and dementia with Lewy bodies (DLB), respectively.
  Conclusions
  Tonic but not phasic EMG activity may serve as a stable biomarkers for predicting the progression of neurodegeneration in iRBD.",,,Prognosis/Monitoring Disease Progression,Sleep topics,BioPotential,,EMG,,,,
Smartwatch for the analysis of rest tremor in patients with Parkinson's disease,"LÃƒÂ³pez-Blanco, Roberto; Velasco, Miguel A.; MÃƒÂ©ndez-Guerrero, Antonio; Romero, Juan Pablo; del Castillo, MarÃƒÆ’Ã‚Â­a Dolores; Serrano, J. Ignacio; Rocon, Eduardo; Benito-LeÃƒÂ³n, JuliÃƒÂ¡n",2019,Journal of the Neurological Sciences,"Parkinson's disease, Tremor transductor, Tremor quantification, Smartphone, Smartwatch","Wearable technology used in Parkinson's disease (PD) research has become an increasing focus of interest in this field. Our group assessed the feasibility, clinical correlation, reliability, and acceptance of smartwatches in order to quantify arm resting tremors in PD patients. An Android application on a smartwatch was used to obtain raw data from the smartwatch's gyroscopes. Twenty-two PD patients were consecutively recruited and followed for 1 year. Arm rest tremors were video filmed and scored by two independent raters using the motor subscale of the Unified Parkinson's Disease Rating Scale (UPDRS-III). The tremor intensity parameter was defined by the root mean square of the angular speed measured by the smartwatch at the wrist. Sixty-four smartwatch evaluations were completed. The Spearman coefficient among the mean of the resting tremor (UPDRS-III) scores and smartwatch measurements for tremor intensity was 0.81 (p < .001); smartwatch reliability to quantify tremors was checked by intraclass reliability coefficient with a resting tremor = 0.89, minimum detectable change = 59.03%. Good acceptance of the system was shown. Smartwatch use for PD tremor analysis is possible, reliable, well-correlated with clinical scores, and well-accepted by patients for clinical follow-up. The results from these experiments suggest that this commodity hardware has the potential to quantify PD patients' tremors objectively in a consulting-room.",,,Prognosis/Monitoring Disease Progression,Tremor,Wearable,,"Gyroscope, smartphone",,,,
Changes in event-related potentials during dual task walking in aging and Parkinson's disease,"Maidan, Inbal; Fahoum, Firas; Shustak, Shiran; Gazit, Eran; Patashov, Dmitry; Tchertov, Dmitry; Giladi, Nir; Hausdorff, Jeffrey M.; Mirelman, Anat",2019,Clinical Neurophysiology,"Parkinson's disease, Electroencephalographic, P300, Gait, Dual-task","Objective
  To investigate EEG changes during an auditory odd-ball task while walking (dual-task) in young adults, older adults, and patients with Parkinson's disease.
  Methods
  11 young adults, 10 older adults, and 10 patients with Parkinson's disease (PD) performed an auditory oddball task during standing and walking on a treadmill, while wearing a wireless EEG cap. The amplitude and latency of P300 were compared between groups and within conditions using linear mix model analysis. Gait was evaluated using wearable sensors and cognition was assessed using the Color Trail Test.
  Results
  P300 latency became longer during walking in all groups (p = 0.005). During walking, older adults (p = 0.005) and patients with PD (p = 0.001) showed prolonged P300 latency compared to young adults. Significant task by group interaction was found in P300 amplitude (p = 0.008). Patients with PD demonstrated reduced P300 amplitude during walking compared to standing (p = 0.023). Among all subjects, better motor and cognitive performance correlated with shorter P300 latency (r = 0.457, p = 0.014 and r = 0.431, p = 0.040, respectively).
  Conclusions
  These findings provide direct evidence of the physiological recruitment of attentional networks during walking and their impact by ageing and disease.
  Significance
  This study is the first to report on changes in P300 latency and amplitude during dual-task oddball walking in older adults and patients with PD.",,,Prognosis/Monitoring Disease Progression,gait,BioPotential,,EEG,,,,
Pre-stimulus beta power modulation during motor sequence learning is reduced in 'Parkinson's disease,"Meissner, Sarah Nadine; Krause, Vanessa; SÃƒÂ¼dmeyer, Martin; Hartmann, Christian Johannes; Pollok, Bettina",2019,NeuroImage: Clinical,"Beta oscillations, SRTT, Anticipatory motor control, Magnetoencephalography (MEG), Parkinson's disease (PD)","Beta oscillations within motor-cortical areas have been linked to sensorimotor function. In line with this, pathologically altered beta activity in cortico-basal ganglia pathways has been suggested to contribute to the pathophysiology of Parkinson's disease (PD), a neurodegenerative disorder primarily characterized by motor impairment. Although its precise function is still discussed, beta activity might subserve an anticipatory role in preparation of future actions. By reanalyzing previously published data, we aimed at investigating the role of pre-stimulus motor-cortical beta power modulation in motor sequence learning and its alteration in PD. 20 PD patients and 20 healthy controls (HC) performed a serial reaction time task (SRTT) in which reaction time gain presumably reflects the ability to anticipate subsequent sequence items. Randomly varying patterns served as control trials. Neuromagnetic activity was recorded using magnetoencephalography (MEG) and data was reanalyzed with respect to task stimuli onset. Assuming that pre-stimulus beta power modulation is functionally related to motor sequence learning, reaction time gain due to training on the SRTT should vary depending on the amount of beta power suppression prior to stimulus onset. We hypothesized to find less pre-stimulus beta power suppression in PD patients as compared to HC associated with reduced motor sequence learning in patients. Behavioral analyses revealed that PD patients exhibited smaller reaction time gain in sequence relative to random control trials than HC indicating reduced learning in PD. This finding was indeed paralleled by reduced pre-stimulus beta power suppression in PD patients. Further strengthening its functional relevance, the amount of pre-stimulus beta power suppression during sequence training significantly predicted subsequent reaction time advantage in sequence relative to random trials in patients. In conclusion, the present data provide first evidence for the contribution of pre-stimulus motor-cortical beta power suppression to motor sequence learning and support the hypothesis that beta oscillations may subserve an anticipatory, predictive function, possibly compromised in PD.",,,Prognosis/Monitoring Disease Progression,gait,BioPotential,,MEG,,,,
Excessive phase synchronization in cortical activation during locomotion in persons with Parkinson's disease,"Miron-Shahar, Yael; Kantelhardt, Jan W.; Grinberg, Adam; Hassin-Baer, Sharon; Blatt, Ilan; Inzelberg, Rivka; Plotnik, Meir",2019,Parkinsonism & Related Disorders,"Parkinson's disease, Electroencephalography, Interhemispheric phase synchronization, Gait, Bimanual movements","Introduction
  Parkinson's disease (PD) is characterized by gait disturbances, which become severe during the advanced stages of the disease. Though gait impairments in Parkinson's disease have been extensively described in terms of spatiotemporal gait parameters, little is known regarding associated patterns of cortical activity. The objective of the present study is to test if interhemispheric synchronization differs between participants with PD and healthy elderly controls (NPD). We analyzed electroencephalography (EEG) signals recorded during bilateral movements, i.e., locomotion and hand tapping.
  Methods
  Fifteen participants with PD ('OFF' their anti-parkinsonian medications) and eight NPD were assessed during quiet standing, straight-line walking, turning, and hand tapping tasks. Using a 32-electrode EEG array, we quantified the synchronization in periodic cortical activation between the brain hemispheres (interhemispheric phase synchronization; inter-PS). Theta, alpha, beta, and gamma bands were evaluated.
  Results
  In all bands, inter-PS was significantly higher for the PD group as compared with the NPD group during standing and walking (p < 0.001) and during bimanual tasks (p = 0.026).
  Conclusions
  Persons with PD exhibit increased inter-PS as compared with NPD participants. These findings support previous evidence from animal studies, that bilateral cortical hypersynchronization emerges from the asymmetric neural degeneration that is at the base of the disease. Future studies should elucidate the long-term temporal development of this hypersynchronization and its clinical relevance (e.g., can it 'serve' as prodromal marker?).",,,Prognosis/Monitoring Disease Progression,EEG abnormalities,BioPotential,,EEG,,,,
Cognitive associations with comprehensive gait and static balance measures in Parkinson's disease,"Morris, Rosie; Martini, Douglas N.; Smulders, Katrijn; Kelly, Valerie E.; Zabetian, Cyrus P.; Poston, Kathleen; Hiller, Amie; Chung, Kathryn A.; Yang, Laurice; Hu, Shu-Ching; Edwards, Karen L.; Cholerton, Brenna; Grabowski, Thomas J.; Montine, Thomas J.; Quinn, Joseph F.; Horak, Fay",2019,Parkinsonism & Related Disorders,"Gait, Balance, Neurological disease","Introduction
  Gait and balance impairments are cardinal features of Parkinson's disease (PD) that require cognitive input. However, the extent to which specific gait and balance characteristics relate to cognition in PD is unclear. In addition, independent models of gait and balance have not been developed from the same cohort. We aimed to i) develop models of gait and balance in a large PD cohort and ii) determine which gait and balance characteristics best related to cognition.
  Methods
  One hundred and ninety-eight people with PD were recruited to the Pacific Udall Center. Using six inertial sensors (APDM, Inc.), comprehensive gait measurements were collected over a 2-min continuous walk and comprehensive static balance measures were collected during a 60-second standing task. Six domains of cognition were assessed: global cognition, attention, executive function, language, memory, and visuospatial function. Correlations and hierarchical linear regression determined independent associations.
  Results
  Principal components analysis identified a gait model containing four domains accounting for 80.1% of total variance: pace/turning, rhythm, variability, and trunk. The balance model contained four independent domains accounting for 84.5% of total variance: sway area/jerkiness, sway velocity, sway frequency anteroposterior, and sway frequency mediolateral. Gait domains of pace/turning and variability were strongly associated with attention and executive function. Sway area and jerkiness of balance associated with attention and visuospatial function.
  Conclusions
  Gait and balance characteristics were associated with specific types of cognition. The specific relationships between gait or balance with cognitive functions suggests shared cerebral cortical circuitry for mobility and cognitive functions.",,,Prognosis/Monitoring Disease Progression,"Gait, Balance",Wearable,,IMU sensors(APDM: Gyroscope + accelerometer),,,,
Examining multiple feature evaluation and classification methods for improving the diagnosis of Parkinson's disease,"Mostafa, Salama A.; Mustapha, Aida; Mohammed, Mazin Abed; Hamed, Raed Ibraheem; Arunkumar, N.; Ghani, Mohd Khanapi Abd; Jaber, Mustafa Musa; Khaleefah, Shihab Hamad",2019,Cognitive Systems Research,"Parkinson's disease, Multi-agent system, Feature evaluation, Classification","An accurate diagnosis of Parkinson's disease by specialists involves many neurological, psychological and physical examinations. The specialists investigate a number of symptoms and signs when examining the nervous system conditions of a person. The diagnosis involves reviewing the medical history and genetic factor of the person. The recent diagnosis methodology to Parkinson's disease relies on voice disorders analysis. This methodology entails extracting feature sets of a recorded person's voice then utilizing a machine learning technique to identify the healthy and Parkinson's cases from the voice. This paper attempts to improve the diagnoses of Parkinson's disease by testing multiple feature evaluation and classification machine learning methods based on the voice disorders analysis. The aim of this paper is to find the optimal solution to the problem by (i) proposing a new Multiple Feature Evaluation Approach (MFEA) of a multi-agent system (ii) implementing five independent classification schemas which are Decision Tree, NaÃƒÂ¯ve Bayes, Neural Network, Random Forests, and Support Vector Machine on the Parkinson's diagnosis before and after applying the MFEA, and (iii) evaluating the diagnosis accuracy of the results. The methodology of the tests encompasses 10-fold cross-validation to evaluate the learning of methods and track variation in their performance. The test results show that the MFEA of the multi-agent system finds the best set of features and improves the performance of the classifiers. The average rate of improvement in the diagnostic accuracy of the classifiers are Decision Tree 10.51%, NaÃƒÂ¯ve Bayes 15.22%, Neural Network 9.19%, Random Forests 12.75%, and Support Vector Machine 9.13%. These results show that the MFEA makes a significant improvement to the classifiers' diagnosis results.",,,Diagnosis,Speech topics,Audio Recording,,Not mentioned,,,,
Electrocortical networks in Parkinson's disease patients with Mild Cognitive Impairment. The PaCoS study,"Mostile, Giovanni; Giuliano, Loretta; Monastero, Roberto; Luca, Antonina; Cicero, Calogero Edoardo; Donzuso, Giulia; Dibilio, Valeria; Baschi, Roberta; Terranova, Roberta; Restivo, Vincenzo; Sofia, Vito; Zappia, Mario; Nicoletti, Alessandra",2019,Parkinsonism & Related Disorders,"Parkinson's disease, Mild cognitive impairment, Quantitative EEG, Electrocortical networks","Introduction
  Parkinson's Disease (PD) is frequently associated with cognitive dysfunction ranging from Mild Cognitive Impairment (PD-MCI) to dementia. Few electrophysiological studies are available evaluating potential pathogenetic mechanisms linked to cognitive impairment in PD since its initial phases. The objective of the study is to analyze electrocortical networks related with cognitive decline in PD-MCI for identifying possible early electrophysiological markers of cognitive impairment in PD.
  Methods
  From the PaCoS (Parkinson's disease Cognitive impairment Study) cohort, a sample of 102 subjects including 46 PD-MCI and 56 PD with normal cognition (PD-NC) was selected based on the presence of a neuropsychological assessment and at least one EEG recording. EEG signal epochs were analysed using Independent Component Analysis LORETA and spectral analysis by computing the Power Spectral Density (PSD) of site-specific signal epochs.
  Results
  LORETA analysis revealed significant differences in PD-MCI patients compared to PD-NC, with a decreased network involving alpha activity over the occipital lobe, an increased network involving beta activity over the frontal lobe associated with a reduction over the parietal lobe, an increased network involving theta and delta activity over the frontal lobe and a reduction of networks involving theta and delta activity in the parietal lobe. Quantitative EEG analysis showed a significant decrease of alpha PSD over the occipital regions and an increase of delta PSD over the left temporal region in PD-MCI as compared to PD-NC.
  Conclusion
  Electrocortical abnormalities detected in PD-MCI patients may represent the instrumental counterpart of early cognitive decline in PD.",,,Diagnosis,Cognitive Activity,BioPotential,,EEG,,,,
"Dopamine substitution alters effective connectivity of cortical prefrontal, premotor, and motor regions during complex bimanual finger movements in Parkinson's disease","Nettersheim, Felix Sebastian; Loehrer, Philipp Alexander; Weber, Immo; Jung, Fabienne; Dembek, Till Anselm; Pelzer, Esther Annegret; Dafsari, Haidar Salimi; Huber, Carlo Andreas; Tittgemeyer, Marc; Timmermann, Lars",2019,NeuroImage,"Parkinson's disease, Electroencephalography (EEG), Dynamic causal modeling (DCM), Effective connectivity, Motor system","Bimanual coordination is impaired in Parkinson's disease (PD), affecting patients' quality of life. Besides dysfunction of the basal ganglia network, alterations of cortical oscillatory coupling, particularly between prefrontal and (pre-)motoric areas, are thought to underlie this impairment. Here, we studied 16 PD patients OFF and ON medication and age-matched healthy controls recording high-resolution electroencephalography (EEG) during performance of spatially coupled and uncoupled bimanual finger movements. Dynamic causal modeling (DCM) for induced responses was used to infer task-induced effective connectivity within a network comprising bilateral prefrontal cortex (PFC), lateral premotor cortex (lPM), supplementary motor area (SMA), and primary motor cortex (M1). Performing spatially coupled movements, excitatory left-hemispheric PFC to lPM coupling was significantly stronger in controls compared to unmedicated PD patients. Levodopa-induced enhancement of this connection correlated with increased movement accuracy. During performance of spatially uncoupled movements, PD patients OFF medication exhibited inhibitory connectivity from left PFC to SMA. Levodopa intake diminished these inhibitory influences and restored excitatory PFC to lPM coupling. This restoration, however, did not improve motor function. Concluding, our results indicate that lateralization of prefrontal to premotor connectivity in PD can be augmented by levodopa substitution and is of compensatory nature up to a certain extent of complexity.",,,Prognosis/Monitoring Disease Progression,Limb movements,BioPotential,,EEG,,,,
Protocol: Using N-of-1 tests to identify responders to melatonin for sleep disturbance in Parkinson's disease,"Nikles, J.; O'Sullivan, J. D.; Mitchell, G. K.; Smith, S. S.; McGree, J. M.; Senior, H.; Dissanyaka, N.; Ritchie, A.",2019,Contemporary Clinical Trials Communications,"N-of-1 trial, Parkinson's disease, Melatonin, Sleep, Insomnia","Background
  40% of Parkinson's Disease (PD) sufferers experience insomnia, impacting health and quality of life for patients and family members, especially carers. There is little evidence that current treatments are effective.
  Objectives
  To determine the effectiveness of melatonin in reducing insomnia in 44 individuals with PD using N-of-1 trials. To aggregate group data to arrive at population estimates of effectiveness (measured by improvements in PDSS-2) and safety (measured by adverse events) of melatonin in improving insomnia in PD. To assess the feasibility of offering N-of-1 trials for insomnia in PD.
  Methodology
  Participants will receive either immediate-release melatonin or placebo in random order in 3 paired two-week treatment periods (12 weeks total). Based on their response in a two-week run-in period on 3 mg daily, they will trial either 3 mg or 6 mg. Patients will keep daily sleep diaries and wear a MotionWatch throughout. After the trial patients will discuss their individual report with their doctor, which provides direct feedback about effectiveness and safety of melatonin for them.
  Statistical methods
  We will analyse N-of-1 tests 1) individually: effects of melatonin on PDSS-2 and safety will be reported; and 2) aggregated across individual N-of-1 studies, combined using a Bayesian multilevel random effects model, which will account for repeated measures on individuals over time, and will return posterior estimates of overall treatment effect, and effect in each individual.
  Clinical Trial Registration number
  ACTRN12617001103358.",,,Predicting Response to Treatment,Sleep Topics,Wearable,,Actigraphy,,,,
The embodiment of language in tremor-dominant Parkinson's disease patients,"NisticÃƒÂ², Rita; Cerasa, Antonio; Olivadese, Giuseppe; Volta, Riccardo Dalla; CrasÃƒÆ’Ã‚ , Marianna; Vasta, Roberta; Gramigna, Vera; Vescio, Basilio; Barbagallo, Gaetano; Chiriaco, Carmelina; Quattrone, Andrea; Salsone, Maria; Novellino, Fabiana; Arabia, Gennarina; Nicoletti, Giuseppe; Morelli, Maurizio; Quattrone, Aldo",2019,Brain and Cognition,"Embodiment cognition, Language, Parkinson's disease, Tremor-dominant, Accelerometer","According to embodied cognition, processing language with motor content involves a simulation of this content by the brain motor system. Patients with brain lesions involving the motor system are characterized by deficits in action verbs processing in the absence of dementia. We sought to assess whether action verbs interfere with the motor behavior of patients with Parkinson's disease (PD) having tremor dominant symptoms. PD tremor is considered to result from dysfunction of cortical-subcortical motor circuits driven by dopamine depletion. In addition, PD tremor is reduced during active movement execution. Therefore, likewise movement execution, the motor simulation of bodily actions predicted by the embodiment may show to be effective in modifying tremor by interfering with a dysfunctional motor system. Here, we asked to simply read and repeat words expressing a hand-related bodily action. Abstract verbs served as control. Changes in tremor kinematics were evaluated using a monoaxial accelerometer. Seventeen PD patients with rest tremor of the upper limbs were enrolled. Tremor amplitude was significantly smaller when reading action verbs as compared to abstract verbs. We provide empirical evidence supporting the embodied cognition theory by showing that circuits mediating tremor of PD patients are distinctively affected by processing action language.",,,Prognosis/Monitoring Disease Progression,Speech Topics,Wearable,,accelerometer,,,,
A palm-worn device to quantify rigidity in Parkinson's disease,"Perera, Thushara; Lee, Wee-Lih; Jones, Mary; Tan, Joy L.; Proud, Elizabeth L.; Begg, Angus; Sinclair, Nicholas C.; Peppard, Richard; McDermott, Hugh J.",2019,Journal of Neuroscience Methods,"Rigidity, Stiffness, Parkinson's disease, Objective monitoring, Movement disorders","Background
  Parkinsonian rigidity is identified on clinical examination as resistance to passive movement. Measurement of rigidity commonly relies on ordinal rating scales (MDS-UPDRS), however instrumented objective measures may provide greater mechanistic insight.
  New method
  We present a palm-worn instrument to objectively quantify rigidity on a continuous scale. The device employs a miniature motor to flex the third digit of the hand about the metacarpophalangeal joint whilst transducers record flexion/extension forces. We aim to determine congruence with the MDS-UPDRS, investigate sensitivity to the impact of deep brain stimulation (DBS) and contralateral movement, and make comparisons with healthy individuals. Eight participants with Parkinson's disease underwent evaluation during conditions: on and off DBS, and with and without contralateral limb movement to activate rigidity. During each DBS condition, wash-in/out effects were tracked using both our instrument and two blinded clinical raters. Sixteen healthy volunteers (age-matched/young) served as controls.
  Results
  Rigidity measured using our instrument had moderate agreement with the MDS-UPDRS and showed differences between therapeutic state, activation conditions, and disease/healthy cohorts. Rigidity gradually worsened over a one-hour period after DBS cessation, but improved more rapidly with DBS resumption.
  Comparison with existing methods
  Previous attempts to quantify rigidity include manual approaches where a clinician is required to manipulate limbs while sensors passively gather information, or large automated instruments to move the wrist or elbow.
  Conclusion
  Given its ability to track changes in rigidity due to therapeutic intervention, our technique could have applications where continuous measurement is required or where a suitably qualified rater is absent.",,,Predicting Response to Treatment,Limb movements,Wearable,,Servo Motor,,,,
Changes in Resting-State Functional Connectivity Related to Freezing of gait in Parkinson's Disease,"Potvin-Desrochers, Alexandra; Mitchell, Trina; Gisiger, Thomas; Paquette, Caroline",2019,Neuroscience,"Freezing of gait, Parkinson's disease, resting-state functional connectivity","Freezing of gait (FOG) is a common motor symptom in Parkinson's disease (PD) thought to arise from the dysfunctional cortico-basal ganglia-thalamic circuity. The purpose of this study was to assess the changes in brain resting-state functional connectivity (rs-FC) of subcortical structures comprising the cortico-basal ganglia-thalamic circuity in individuals with PD with and without FOG. Resting-state functional magnetic resonance imaging was acquired in 27 individuals with idiopathic PD (14 with FOG and 13 without FOG). A seed-to-voxel analysis was performed with the seeds in the bilateral basal ganglia nuclei, thalamus, and pedunculopontine nucleus. Between-group differences in rs-FC revealed that the bilateral thalamus and globus pallidus external were significantly more connected with visual areas in PD with FOG compared to PD without FOG. In addition, PD with FOG had increased connectivity between the left putamen and retrosplenial cortex as well as with the cerebellum. Our findings suggest an increased connectivity at rest of subcortical and cortical regions involved in sensory and visuospatial processing that may be compensating for sensorimotor deficits in FOG. This increased connectivity may contribute to the hypothesized overload in the cortico-basal ganglia-thalamic circuity processing capacity, which may ultimately result in FOG occurrence.",,,Prognosis/Monitoring Disease Progression,Freezing of gait,BioPotential,,MRI,,,,
Investigating voice as a biomarker: Deep phenotyping methods for early detection of Parkinson's disease,"Tracy, John M.; ?zkanca, Yasin; Atkins, David C.; Ghomi, Reza Hosseini",2019,Journal of Biomedical Informatics,"Parkinson's disease, Deep phenotype, Feature selection, Voice technology, Audio features, Voice biomarkers","Voice technology has grown tremendously in recent years and using voice as a biomarker has also been gaining evidence. We demonstrate the potential of voice in serving as a deep phenotype for Parkinson's Disease (PD), the second most common neurodegenerative disorder worldwide, by presenting methodology for voice signal processing for clinical analysis. Detection of PD symptoms typically requires an exam by a movement disorder specialist and can be hard to access and inconsistent in findings. A vocal digital biomarker could supplement the cumbersome existing manual exam by detecting and quantifying symptoms to guide treatment. Specifically, vocal biomarkers of PD are a potentially effective method of assessing symptoms and severity in daily life, which is the focus of the current research. We analyzed a database of PD patient and non-PD subjects containing voice recordings that were used to extract paralinguistic features, which served as inputs to machine learning models to predict PD severity. The results are presented here and the limitations are discussed given the nature of the recordings. We note that our methodology only advances biomarker research and is not cleared for clinical use. Specifically, we demonstrate that conventional machine learning models applied to voice signals can be used to differentiate participants with PD who exhibit little to no symptoms from healthy controls. This work highlights the potential of voice to be used for early detection of PD and indicates that voice may serve as a deep phenotype for PD, enabling precision medicine by improving the speed, accuracy, accessibility, and cost of PD management.",,,Diagnosis,Speech Topics,Audio Recording,,Microphone,,,,
Noninvasive and quantitative evaluation of movement disorder disability using an infrared depth sensor,"Tsukagoshi, Setsuki; Furuta, Minori; Hirayanagi, Kimitoshi; Furuta, Natsumi; Nakazato, Shogo; Fujii, Motoaki; Yuminaka, Yasushi; Ikeda, Yoshio",2019,Journal of Clinical Neuroscience,"Gait analysis, Cerebellar ataxia, Parkinson's disease, Stride length, Feet interval, Gait rhythm","Cerebellar ataxia and Parkinson's disease are neurodegenerative disorders clinically characterized by motor disabilities including gait disturbance. This study aimed to investigate the usefulness of an infrared depth sensor device to quantitatively evaluate gait disturbances in patients with movement disorders. 25 ataxic, 25 Parkinson's disease, and 25 control subjects were enrolled and evaluated their walk. Stride length, feet interval, gait rhythm, and a ratio of the actual walking route length to the linear distance between the start and goal points (A/L ratio) were assessed and compared. Outcome correlations with clinical scales were also analyzed. The average stride length was shorter in ataxic subjects or Parkinson's disease subjects than in control subjects. The average feet interval was larger in ataxic subjects than in control subjects. The stride length coefficient of variation (CV), gait rhythm CV, and average and standard deviations of the A/L ratio were larger in ataxic or Parkinson's disease subjects than in control subjects. Ataxic subjects exhibited significant positive correlations between the CV of stride length or average feet interval and scale for the assessment and rating of ataxia scores or international cooperative ataxia rating scale scores. Parkinson's disease subjects exhibited a significant correlation between the average stride length, CV of stride length, or standard deviation of A/L ratio and unified Parkinson's disease rating scale score. The device used in this study differentiated the characteristics of gait disturbance in each movement disorder and quantitatively evaluated ataxia or Parkinson's disease severity, indicating its potential clinical utility across applications.",,,Prognosis/Monitoring Disease Progression,Gait,Other,Motion capture device,depth sensor and an infrared ray sensor,,,,
A novel octopus based Parkinson's disease and gender recognition method using vowels,"Tuncer, Turker; Dogan, Sengul",2019,Applied Acoustics,"Octopus based method, Parkinson's disease recognition, Gender classification, Singular value decomposition, Vowel processing, Machine learning","The Parkinson's disease (PD) is one of the widely seen and most important neurological disorders worldwide. With the development of the technology, many machine learning methods have been presented to recognize PD automatically. In order to recognize PD and gender, vowels have been widely used and many papers have been presented for solving these problems in the literature. In this study, a novel octopus based feature extraction network is presented and the proposed octopus is a multiple pooling method. In this method, minimum, maximum, maximum-minimum, average, variance, median, skewness and kurtosis pooling methods are used. These eight pooling methods consist the leg of the octopus. In this article, a vowel recognition method is proposed using the proposed octopus pooling method. The proposed method contains preprocessing, feature extraction, feature selection, classification and post processing phases. In the preprocessing, the proposed octopus method is applied to signal to generate octopus signal. Singular Value Decomposition (SVD) is utilized as feature extractor and the features are extracted using original vowel signal and the signals of the octopus. In order to feature selection, neighborhood component analysis (NCA) is used to remove redundant features. In the classification phase, support vector machine with various activation functions (linear, cubic, radial bases function), 1NN with Manhattan distance, tree and logistic regression are utilized. To obtain individual results, the proposed post processing algorithm is applied to validation predictions. In order to show success of the proposed method, a vowel dataset is used. This dataset contains PD disease vowels and there are gender labels. By using the proposed octopus based method, PD, gender and both PD and gender recognitions are performed. The proposed method achieved 99.21%, 98.41% and 97.62% accuracy rates for gender, PD and gender and PD classification respectively using 1 nearest neighbor (1NN) classifier. The space complexity of the proposed method was calculated and was found as Onlogn. These results clearly indicated that the proposed solves three problems with high success rates and low computational complexity.",,,Diagnosis,Speech topics,Audio Recording,,Microphone,,,,
Estimation and validation of temporal gait features using a markerless 2D video system,"Verlekar, Tanmay T.; Vroey, Henri De; Claeys, Kurt; Hallez, Hans; Soares, LuÃƒÆ’Ã‚Â­s D.; Correia, Paulo L.",2019,Computer Methods and Programs in Biomedicine,"Biomedical analysis, Biomedical gait indicators, Gait analysis, Temporal gait features, Computer vision, Video processing","Background and objective
  Estimation of temporal gait features, such as stance time, swing time and gait cycle time, can be used for clinical evaluations of various patient groups having gait pathologies, such as Parkinson's diseases, neuropathy, hemiplegia and diplegia. Most clinical laboratories employ an optoelectronic motion capture system to acquire such features. However, the operation of these systems requires specially trained operators, a controlled environment and attaching reflective markers to the patient's body. To allow the estimation of the same features in a daily life setting, this paper presents a novel vision based system whose operation does not require the presence of skilled technicians or markers and uses a single 2D camera.
  Method
  The proposed system takes as input a 2D video, computes the silhouettes of the walking person, and then estimates key biomedical gait indicators, such as the initial foot contact with the ground and the toe off instants, from which several other temporal gait features can be derived.
  Results
  The proposed system is tested on two datasets: (i) a public gait dataset made available by CASIA, which contains 20 users, with 4 sequences per user; and (ii) a dataset acquired simultaneously by a marker-based optoelectronic motion capture system and a simple 2D video camera, containing 10 users, with 5 sequences per user. For the CASIA gait dataset A the relevant temporal biomedical gait indicators were manually annotated, and the proposed automated video analysis system achieved an accuracy of 99% on their identification. It was able to obtain accurate estimations even on segmented silhouettes where, the state-of-the-art markerless 2D video based systems fail. For the second database, the temporal features obtained by the proposed system achieved an average intra-class correlation coefficient of 0.86, when compared to the ``gold standard""Ã‚Â optoelectronic motion capture system.
  Conclusions
  The proposed markerless 2D video based system can be used to evaluate patients' gait without requiring the usage of complex laboratory settings and without the need for physical attachment of sensors/markers to the patients. The good accuracy of the results obtained suggests that the proposed system can be used as an alternative to the optoelectronic motion capture system in non-laboratory environments, which can be enable more regular clinical evaluations.",,,Prognosis/Monitoring Disease Progression,Gait,Video Recording,,Camera,,,,Also Diagnosis
